Match_id,balls_per_over,team,team.1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire.1,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,date.1,eliminator,player_of_match.1
1144483,6,England,South Africa,male,2019,2019/05/30,World Cup,1.0,Kennington Oval,London,South Africa,field,BA Stokes,BNJ Oxenford,HDPK Dharmasena,JS Wilson,PR Reiffel,DC Boon,England,104.0,,,,,,
1144484,6,Pakistan,West Indies,male,2019,2019/05/31,World Cup,2.0,Trent Bridge,Nottingham,West Indies,field,O Thomas,CB Gaffaney,M Erasmus,RSA Palliyaguruge,S Ravi,JJ Crowe,West Indies,,7.0,,,,,
1144485,6,New Zealand,Sri Lanka,male,2019,2019/06/01,World Cup,3.0,Sophia Gardens,Cardiff,New Zealand,field,MJ Henry,RJ Tucker,IJ Gould,P Wilson,NJ Llong,AJ Pycroft,New Zealand,,10.0,,,,,
1144487,6,Bangladesh,South Africa,male,2019,2019/06/02,World Cup,5.0,Kennington Oval,London,South Africa,field,Shakib Al Hasan,JS Wilson,PR Reiffel,BNJ Oxenford,HDPK Dharmasena,DC Boon,Bangladesh,21.0,,,,,,
1144488,6,England,Pakistan,male,2019,2019/06/03,World Cup,6.0,Trent Bridge,Nottingham,England,field,Mohammad Hafeez,M Erasmus,S Ravi,CB Gaffaney,RSA Palliyaguruge,JJ Crowe,Pakistan,14.0,,,,,,
1144490,6,India,South Africa,male,2019,2019/06/05,World Cup,8.0,The Rose Bowl,Southampton,South Africa,bat,RG Sharma,RA Kettleborough,MA Gough,Aleem Dar,RK Illingworth,RS Madugalle,India,,6.0,,,,,
1144491,6,Bangladesh,New Zealand,male,2019,2019/06/05,World Cup,9.0,Kennington Oval,London,New Zealand,field,LRPL Taylor,BNJ Oxenford,PR Reiffel,HDPK Dharmasena,JS Wilson,DC Boon,New Zealand,,2.0,,,,,
1144492,6,Australia,West Indies,male,2019,2019/06/06,World Cup,10.0,Trent Bridge,Nottingham,West Indies,field,NM Coulter-Nile,CB Gaffaney,RSA Palliyaguruge,S Ravi,M Erasmus,JJ Crowe,Australia,15.0,,,,,,
1144494,6,England,Bangladesh,male,2019,2019/06/08,World Cup,12.0,Sophia Gardens,Cardiff,Bangladesh,field,JJ Roy,JS Wilson,HDPK Dharmasena,PR Reiffel,BNJ Oxenford,DC Boon,England,106.0,,,,,,
1144496,6,Australia,India,male,2019,2019/06/09,World Cup,14.0,Kennington Oval,London,India,bat,S Dhawan,IJ Gould,CB Gaffaney,RSA Palliyaguruge,NJ Llong,AJ Pycroft,India,36.0,,,,,,
1144497,6,South Africa,West Indies,male,2019,2019/06/10,World Cup,15.0,The Rose Bowl,Southampton,West Indies,field,,P Wilson,RJ Tucker,HDPK Dharmasena,S Ravi,DC Boon,,,,no result,,,,
1144499,6,Australia,Pakistan,male,2019,2019/06/12,World Cup,17.0,The Cooper Associates County Ground,Taunton,Pakistan,field,DA Warner,NJ Llong,RSA Palliyaguruge,CB Gaffaney,IJ Gould,AJ Pycroft,Australia,41.0,,,,,,
1144501,6,England,West Indies,male,2019,2019/06/14,World Cup,19.0,The Rose Bowl,Southampton,England,field,JE Root,HDPK Dharmasena,S Ravi,P Wilson,RJ Tucker,DC Boon,England,,8.0,,,,,
1144502,6,Australia,Sri Lanka,male,2019,2019/06/15,World Cup,20.0,Kennington Oval,London,Sri Lanka,field,AJ Finch,Aleem Dar,RK Illingworth,RA Kettleborough,MA Gough,JJ Crowe,Australia,87.0,,,,,,
1144504,6,India,Pakistan,male,2019,2019/06/16,World Cup,22.0,Old Trafford,Manchester,Pakistan,field,RG Sharma,BNJ Oxenford,M Erasmus,PR Reiffel,JS Wilson,RS Madugalle,India,89.0,,,D/L,,,
1144505,6,Bangladesh,West Indies,male,2019,2019/06/17,World Cup,23.0,The Cooper Associates County Ground,Taunton,Bangladesh,field,Shakib Al Hasan,RJ Tucker,S Ravi,HDPK Dharmasena,P Wilson,DC Boon,Bangladesh,,7.0,,,,,
1144507,6,New Zealand,South Africa,male,2019,2019/06/19,World Cup,25.0,Edgbaston,Birmingham,New Zealand,field,KS Williamson,IJ Gould,NJ Llong,RSA Palliyaguruge,RJ Tucker,RB Richardson,New Zealand,,4.0,,,,,
1144508,6,Australia,Bangladesh,male,2019,2019/06/20,World Cup,26.0,Trent Bridge,Nottingham,Australia,bat,DA Warner,RA Kettleborough,MA Gough,Aleem Dar,RK Illingworth,JJ Crowe,Australia,48.0,,,,,,
1144509,6,England,Sri Lanka,male,2019,2019/06/21,World Cup,27.0,Headingley,Leeds,Sri Lanka,bat,SL Malinga,P Wilson,M Erasmus,PR Reiffel,BNJ Oxenford,RB Richardson,Sri Lanka,20.0,,,,,,
1144511,6,New Zealand,West Indies,male,2019,2019/06/22,World Cup,29.0,Old Trafford,Manchester,West Indies,field,KS Williamson,IJ Gould,RSA Palliyaguruge,RJ Tucker,NJ Llong,DC Boon,New Zealand,5.0,,,,,,
1144512,6,Pakistan,South Africa,male,2019,2019/06/23,World Cup,30.0,Lord's,London,Pakistan,bat,Haris Sohail,JS Wilson,HDPK Dharmasena,S Ravi,CB Gaffaney,RS Madugalle,Pakistan,49.0,,,,,,
1144514,6,England,Australia,male,2019,2019/06/25,World Cup,32.0,Lord's,London,England,field,AJ Finch,CB Gaffaney,S Ravi,JS Wilson,HDPK Dharmasena,RS Madugalle,Australia,64.0,,,,,,
1144515,6,New Zealand,Pakistan,male,2019,2019/06/26,World Cup,33.0,Edgbaston,Birmingham,New Zealand,bat,Babar Azam,BNJ Oxenford,PR Reiffel,M Erasmus,P Wilson,RB Richardson,Pakistan,,6.0,,,,,
1144516,6,India,West Indies,male,2019,2019/06/27,World Cup,34.0,Old Trafford,Manchester,India,bat,V Kohli,RA Kettleborough,RK Illingworth,Aleem Dar,MA Gough,BC Broad,India,125.0,,,,,,
1144517,6,South Africa,Sri Lanka,male,2019,2019/06/28,World Cup,35.0,Riverside Ground,Chester-le-Street,South Africa,field,D Pretorius,RJ Tucker,S Ravi,PR Reiffel,BNJ Oxenford,DC Boon,South Africa,,9.0,,,,,
1144519,6,Australia,New Zealand,male,2019,2019/06/29,World Cup,37.0,Lord's,London,Australia,bat,AT Carey,JS Wilson,RK Illingworth,MA Gough,RA Kettleborough,RB Richardson,Australia,86.0,,,,,,
1144520,6,England,India,male,2019,2019/06/30,World Cup,38.0,Edgbaston,Birmingham,England,bat,JM Bairstow,Aleem Dar,HDPK Dharmasena,M Erasmus,RSA Palliyaguruge,RS Madugalle,England,31.0,,,,,,
1144521,6,Sri Lanka,West Indies,male,2019,2019/07/01,World Cup,39.0,Riverside Ground,Chester-le-Street,West Indies,field,WIA Fernando,BNJ Oxenford,PR Reiffel,RJ Tucker,S Ravi,DC Boon,Sri Lanka,23.0,,,,,,
1144522,6,Bangladesh,India,male,2019,2019/07/02,World Cup,40.0,Edgbaston,Birmingham,India,bat,RG Sharma,M Erasmus,RSA Palliyaguruge,HDPK Dharmasena,Aleem Dar,RS Madugalle,India,28.0,,,,,,
1144523,6,England,New Zealand,male,2019,2019/07/03,World Cup,41.0,Riverside Ground,Chester-le-Street,England,bat,JM Bairstow,RJ Tucker,S Ravi,BNJ Oxenford,PR Reiffel,DC Boon,England,119.0,,,,,,
1144525,6,Bangladesh,Pakistan,male,2019,2019/07/05,World Cup,43.0,Lord's,London,Pakistan,bat,Shaheen Shah Afridi,RA Kettleborough,MA Gough,JS Wilson,RK Illingworth,RB Richardson,Pakistan,94.0,,,,,,
1144526,6,India,Sri Lanka,male,2019,2019/07/06,World Cup,44.0,Headingley,Leeds,Sri Lanka,bat,RG Sharma,P Wilson,IJ Gould,NJ Llong,CB Gaffaney,BC Broad,India,,7.0,,,,,
1144527,6,Australia,South Africa,male,2019,2019/07/06,World Cup,45.0,Old Trafford,Manchester,South Africa,bat,F du Plessis,Aleem Dar,HDPK Dharmasena,RSA Palliyaguruge,S Ravi,RS Madugalle,South Africa,10.0,,,,,,
1144528,6,India,New Zealand,male,2019,2019/07/09,World Cup,,Old Trafford,Manchester,New Zealand,bat,MJ Henry,RA Kettleborough,RK Illingworth,NJ Llong,RJ Tucker,DC Boon,New Zealand,18.0,,,,2019/07/10,,
1144529,6,Australia,England,male,2019,2019/07/11,World Cup,,Edgbaston,Birmingham,Australia,bat,CR Woakes,HDPK Dharmasena,M Erasmus,Aleem Dar,CB Gaffaney,RS Madugalle,England,,8.0,,,,,
1144530,6,England,New Zealand,male,2019,2019/07/14,World Cup,,Lord's,London,New Zealand,bat,BA Stokes,HDPK Dharmasena,M Erasmus,Aleem Dar,RJ Tucker,RS Madugalle,,,,tie,,,England,
1384392,6,England,New Zealand,male,2023/24,2023/10/05,ICC Cricket World Cup,1.0,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,New Zealand,field,R Ravindra,HDPK Dharmasena,Nitin Menon,Sharfuddoula,P Wilson,J Srinath,New Zealand,,9.0,,,,,
